Order ID,Order Date,Customer ID,Country,State,Product ID,Product Name,Sales Channel,Quantity,Price,Profit,Revenue,Region
IN-2023-16672,06/09/2023,UE-88365,United States,Alabama,OFF-SN-575108,Sneakers,Online Store,5,82.54,134.53,412.7,South
IN-2024-41566,21/10/2024,NO-82745,United States,District of Columbia,OFF-SO-932408,Socks,Retail Stores,2,10.02,6.24,20.04,West
IN-2022-17982,29/05/2022,LG-95763,United States,Arizona,OFF-SH-692362,Shirts,Retail Stores,1,24.66,6.01,24.66,West
IN-2022-14645,05/04/2022,BG-50028,United States,Arkansas,OFF-YO-806707,Yoga Mats,Pop-ups & Events,5,49.76,51.09,248.8,South
IN-2024-66651,07/02/2024,QQ-46376,United States,California,OFF-SH-146199,Shirts,Retail Stores,1,25.41,5.29,25.41,West
IN-2024-18427,05/01/2024,PV-71475,United States,Colorado,OFF-SN-425920,Sneakers,Pop-ups & Events,5,82.74,101.66,413.7,West
IN-2023-83514,01/01/2023,KU-96716,United States,Connecticut,OFF-LE-830083,Leggings,Marketplaces,3,41.91,35.2,125.73,Northeast
IN-2022-93308,18/10/2021,MU-56304,United States,Delaware,OFF-SN-438064,Sneakers,Pop-ups & Events,3,79.36,77.07,238.08,South
IN-2023-38933,16/02/2023,VD-97232,United States,Florida,OFF-SH-655480,Shirts,Online Store,1,25.33,8.07,25.33,South
IN-2024-66903,10/03/2024,UF-10364,United States,Georgia,OFF-BA-168413,Backpacks,Retail Stores,1,71.71,15.59,71.71,South
IN-2023-14272,02/03/2023,GW-68725,United States,Hawaii,OFF-SH-783775,Shirts,Online Store,4,24.42,33.09,97.68,West
IN-2023-43130,02/12/2023,WB-49345,United States,Idaho,OFF-SO-773623,Socks,Online Store,3,10.01,6.52,30.03,West
IN-2024-95225,16/05/2024,MP-95206,United States,Illinois,OFF-LE-429896,Leggings,Retail Stores,1,40.25,9.04,40.25,Midwest
IN-2023-80603,23/07/2023,EL-70040,United States,Indiana,OFF-YO-452026,Yoga Mats,Marketplaces,5,48.9,52.32,244.5,Midwest
IN-2024-30671,15/02/2024,BJ-42563,United States,Iowa,OFF-SN-203858,Sneakers,Marketplaces,5,80.12,121.04,400.6,Midwest
IN-2023-88008,04/07/2023,VJ-65619,United States,Kansas,OFF-TA-364294,Tank Tops,Pop-ups & Events,3,20.32,19.02,60.96,Midwest
IN-2022-27519,19/07/2021,AT-54975,United States,Kentucky,OFF-SN-874429,Sneakers,Retail Stores,2,78.13,61.55,156.26,South
IN-2024-80272,31/12/2024,KD-47714,United States,Louisiana,OFF-SH-470845,Shirts,Online Store,4,26.2,32.22,104.8,South
IN-2022-54738,29/06/2021,YU-60378,United States,Maine,OFF-SH-992858,Shirts,Retail Stores,5,25.73,40.88,128.65,Northeast
IN-2022-26437,20/03/2021,JX-14632,United States,Maryland,OFF-YO-501422,Yoga Mats,Marketplaces,2,49.99,33.71,99.98,South
IN-2024-48692,15/10/2024,OS-99536,United States,Massachusetts,OFF-SH-340618,Shirts,Marketplaces,4,24.5,20.97,98,Northeast
IN-2024-99711,02/08/2024,SF-35927,United States,Michigan,OFF-SN-383086,Sneakers,Marketplaces,1,83.54,24.13,83.54,Midwest
IN-2022-77873,06/01/2021,UO-43699,United States,Minnesota,OFF-JA-846858,Jackets,Marketplaces,4,104.62,117.97,418.48,Midwest
IN-2024-50314,28/02/2024,RU-75468,United States,Mississippi,OFF-SP-529553,Sports Bras,Pop-ups & Events,2,29.32,16.85,58.64,South
IN-2023-40010,03/12/2023,RN-44463,United States,Missouri,OFF-SH-138415,Shirts,Pop-ups & Events,4,25.15,24.22,100.6,Midwest
IN-2022-43689,04/11/2021,HY-96274,United States,Montana,OFF-SN-308315,Sneakers,Marketplaces,5,78.34,98.89,391.7,West
IN-2022-35672,23/12/2021,UL-49726,United States,Nebraska,OFF-JA-210830,Jackets,Pop-ups & Events,1,97.71,22.2,97.71,Midwest
IN-2022-23115,13/06/2021,GI-27703,United States,Nevada,OFF-JA-426852,Jackets,Marketplaces,2,98.01,77.76,196.02,West
IN-2024-91186,10/05/2024,KL-52276,United States,New Hampshire,OFF-TA-895450,Tank Tops,Online Store,1,20.81,5.94,20.81,Northeast
